Estacion AMB NORMAL;;;Sensor IOT (PROM);;;
Fecha;Hora;Valor;Fecha;Hora;Valor;
27/11/2018;3:00:00;10,1;27/11/2018;3:01:11;14,9999980926513;
27/11/2018;4:00:00;10,7;27/11/2018;4:01:11;20,2857131958007;
27/11/2018;5:00:00;7,5;27/11/2018;5:01:11;14,8571414947509;
27/11/2018;6:00:00;8,5;27/11/2018;6:01:11;13,5714282989501;
27/11/2018;7:00:00;8,2;27/11/2018;7:01:11;12,2857141494750;
27/11/2018;8:00:00;9,9;27/11/2018;8:01:11;10,8571434020996;
27/11/2018;9:00:00;11,3;27/11/2018;9:01:11;21,5714282989501;
27/11/2018;10:00:00;12,5;27/11/2018;10:01:11;21,2857151031494;
27/11/2018;11:00:00;15,3;27/11/2018;11:01:11;13,2857141494750;
27/11/2018;12:00:00;12,3;27/11/2018;12:01:11;24,2857131958007;
27/11/2018;13:00:00;10,3;27/11/2018;13:01:11;30,5714282989501;
27/11/2018;14:00:00;10;27/11/2018;14:01:11;21,5714263916015;
27/11/2018;15:00:00;10,6;27/11/2018;15:01:11;25,1428565979003;
27/11/2018;16:00:00;10,6;27/11/2018;16:01:11;13,8571424484252;
27/11/2018;17:00:00;10,8;27/11/2018;17:01:11;7,2857146263123;
27/11/2018;18:00:00;11,1;27/11/2018;18:01:11;6,4285717010498;
27/11/2018;19:00:00;11,7;27/11/2018;19:01:11;7,5714287757874;
27/11/2018;20:00:00;11,3;27/11/2018;20:01:11;8,2857141494751;
27/11/2018;21:00:00;10,6;27/11/2018;21:01:11;8,7142858505249;
27/11/2018;22:00:00;11,9;27/11/2018;22:01:11;20,1428565979003;
27/11/2018;23:00:00;11,9;27/11/2018;23:01:11;12,1428565979003;
28/11/2018;0:00:00;9,1;28/11/2018;0:01:11;9,2857141494751;
28/11/2018;1:00:00;8,7;28/11/2018;1:01:11;9,8571434020996;
28/11/2018;2:00:00;9,3;28/11/2018;2:01:11;8,1428565979004;
28/11/2018;3:00:00;9;28/11/2018;3:01:11;7,2857146263123;
28/11/2018;4:00:00;10,8;28/11/2018;4:01:11;7,1428575515747;
28/11/2018;5:00:00;10,5;28/11/2018;5:01:12;7,7142858505249;
28/11/2018;6:00:00;12,8;28/11/2018;6:01:10;7,5714287757874;
28/11/2018;7:00:00;17,6;28/11/2018;7:01:11;8,7142858505249;
28/11/2018;8:00:00;21,9;28/11/2018;8:01:10;9,1428565979004;
28/11/2018;9:00:00;19,4;28/11/2018;9:01:11;11,5714282989501;
28/11/2018;10:00:00;14,2;28/11/2018;10:01:10;18,7142868041992;
28/11/2018;11:00:00;8;28/11/2018;11:01:11;17,4285717010498;
28/11/2018;12:00:00;7,2;28/11/2018;12:01:10;15,2857131958007;
28/11/2018;13:00:00;7,4;28/11/2018;13:01:11;16,2857131958007;
28/11/2018;14:00:00;8,2;28/11/2018;14:01:10;16,5714263916015;
28/11/2018;15:00:00;7,9;28/11/2018;15:01:11;13,1428565979003;
28/11/2018;16:00:00;10,1;28/11/2018;16:01:12;13,2857151031494;
28/11/2018;17:00:00;10,3;28/11/2018;17:01:10;13,5714282989501;
28/11/2018;18:00:00;8,5;28/11/2018;18:01:11;12,7142858505249;
28/11/2018;19:00:00;7,7;28/11/2018;19:01:11;9,7142858505249;
28/11/2018;20:00:00;7,1;28/11/2018;20:01:11;9,8571424484253;
28/11/2018;21:00:00;6,6;28/11/2018;21:01:11;38,9999961853027;
28/11/2018;22:00:00;6,3;28/11/2018;22:01:11;8,7142858505249;
