Fecha;Hora;Valor
30/11/2018;9:01:11;4,285714626
30/11/2018;10:01:11;7,285714626
30/11/2018;11:01:11;10
30/11/2018;12:01:11;13,42857075
30/11/2018;13:01:21;20,2857151
30/11/2018;14:01:11;12
30/11/2018;15:01:11;14,1428566
30/11/2018;16:01:11;10
30/11/2018;18:01:20;10,1428566
30/11/2018;19:01:10;12,42857075
30/11/2018;20:01:10;10
30/11/2018;21:01:10;12,28571415
30/11/2018;22:01:10;12,00000095
30/11/2018;23:01:10;14,4285717
1/12/2018;1:01:10;15,1428566
1/12/2018;2:01:10;15,14285755
1/12/2018;3:01:10;15
1/12/2018;4:01:10;26,5714283
1/12/2018;5:01:10;9
1/12/2018;6:01:11;8,142857552
1/12/2018;7:01:10;15,85714149
1/12/2018;8:01:11;9,142856598
1/12/2018;9:01:10;9,142856598
1/12/2018;10:01:10;11,7142868
1/12/2018;11:01:10;17,8571434
1/12/2018;12:01:11;29
1/12/2018;13:01:10;29,85714149
1/12/2018;14:01:10;22,2857151
1/12/2018;15:01:11;13,4285717
1/12/2018;16:01:10;11,28571415
1/12/2018;17:01:10;12,57142925
1/12/2018;18:01:10;12,28571415
1/12/2018;19:01:10;13,1428566
1/12/2018;20:01:10;12,28571415
1/12/2018;21:01:12;11,99999905
1/12/2018;22:01:10;14,85714149
1/12/2018;23:01:10;14,4285717
2/12/2018;0:01:10;15,71428585
2/12/2018;1:01:10;13,85714149
2/12/2018;2:01:11;13,85714149
2/12/2018;3:01:10;15
2/12/2018;4:01:10;14,85714149
2/12/2018;5:01:10;17,14285851
2/12/2018;6:01:10;10,42857075
2/12/2018;7:01:11;17,4285717
2/12/2018;8:01:10;19
2/12/2018;9:01:11;16,4285717
2/12/2018;10:01:10;16,57142639
2/12/2018;11:01:10;26,4285717
2/12/2018;12:01:10;30,1428566
2/12/2018;13:01:10;29,57142639
2/12/2018;14:01:10;21,42856979
2/12/2018;15:01:10;18,7142868
2/12/2018;16:01:10;17,7142849
2/12/2018;17:01:11;13,2857132
2/12/2018;18:01:10;11,4285717
2/12/2018;19:01:11;12,42857075
2/12/2018;20:01:10;13,7142868
2/12/2018;21:01:10;14,99999905
2/12/2018;22:01:10;16,7142868
2/12/2018;23:01:10;19,5714283
3/12/2018;0:01:11;19,8571434
3/12/2018;1:01:10;18,8571434
3/12/2018;2:01:10;17
3/12/2018;3:01:20;16,85714149
3/12/2018;4:01:10;17,8571434
3/12/2018;5:01:11;15,2857132
3/12/2018;6:01:11;21,85714149
3/12/2018;7:01:11;31,7142849
3/12/2018;8:01:10;25,2857151
3/12/2018;9:01:11;17,2857151
3/12/2018;10:01:11;23,99999809
3/12/2018;11:01:11;30,85714149
3/12/2018;12:01:10;29,42856979
3/12/2018;13:01:20;30,5714283
3/12/2018;14:01:11;26,1428566
3/12/2018;15:01:10;21
3/12/2018;16:01:10;20
3/12/2018;17:01:20;18,7142849
3/12/2018;18:01:11;14,1428566
3/12/2018;19:01:10;17,1428566
3/12/2018;20:01:10;13,8571434
3/12/2018;21:01:10;17,2857132
3/12/2018;22:01:10;20,1428566
3/12/2018;23:01:10;20,2857151
4/12/2018;0:01:10;19,2857151
4/12/2018;1:01:20;20,8571434
4/12/2018;2:01:10;15,99999905
4/12/2018;3:01:10;17
4/12/2018;4:01:10;13,14285755
4/12/2018;5:01:11;11,5714283
4/12/2018;6:01:10;15,71428394
4/12/2018;7:01:10;18,7142868
4/12/2018;8:01:10;17,7142868
4/12/2018;9:01:10;10,28571415
4/12/2018;10:01:10;9,571428299
4/12/2018;11:01:10;16,7142868
4/12/2018;12:01:20;27,4285717
4/12/2018;13:01:11;30,85713959
4/12/2018;14:01:10;31,4285717
4/12/2018;15:01:10;14,42857075
4/12/2018;16:01:10;14,1428566
4/12/2018;17:01:10;13,85714149
4/12/2018;18:01:10;12,8571434
4/12/2018;19:01:10;16,2857132
4/12/2018;20:01:11;12,1428566
4/12/2018;21:01:10;12,1428566
4/12/2018;22:01:10;14,85714149
4/12/2018;23:01:10;19,8571434
5/12/2018;0:01:11;25,7142868
5/12/2018;1:01:11;14,7142849
5/12/2018;2:01:11;16,4285717
5/12/2018;3:01:11;14,99999905
5/12/2018;4:01:12;20,7142849
5/12/2018;5:01:11;20,42857361
5/12/2018;6:01:11;19,8571434
5/12/2018;7:01:11;18,71428871
5/12/2018;8:01:11;21,42857361
5/12/2018;9:01:20;30,7142849
5/12/2018;10:01:11;17,7142849
5/12/2018;11:01:11;14,71428394
5/12/2018;12:01:11;30,2857132
5/12/2018;13:01:11;20,57143021
5/12/2018;14:01:11;19,1428566
5/12/2018;15:01:20;15,71428585
5/12/2018;16:01:11;15,2857132
5/12/2018;17:01:11;12,1428566
5/12/2018;18:01:11;11,42857265
5/12/2018;19:01:11;13
5/12/2018;20:01:11;13
5/12/2018;21:01:11;15,71428585
5/12/2018;22:01:11;20,5714283
5/12/2018;23:01:11;21,2857132
6/12/2018;0:01:11;16,8571434
6/12/2018;1:01:11;15,99999905
6/12/2018;2:01:11;15,4285717
6/12/2018;3:01:11;13,71428585
6/12/2018;4:01:11;15,1428566
6/12/2018;5:01:11;15,7142849
6/12/2018;6:01:11;17,42856979
6/12/2018;7:01:11;23
6/12/2018;8:01:11;15,85714436
6/12/2018;9:01:11;21,2857151
6/12/2018;10:01:11;14,28571415
6/12/2018;11:01:11;20
6/12/2018;12:01:11;29,99999809
6/12/2018;13:01:11;29,1428566
6/12/2018;14:01:11;14,1428566
6/12/2018;15:01:11;20,7142868
6/12/2018;16:01:10;17,4285717
6/12/2018;17:01:20;13,5714283
6/12/2018;18:01:11;16
6/12/2018;19:01:10;13
6/12/2018;20:01:10;13,99999905
6/12/2018;21:01:10;17,00000191
6/12/2018;22:01:11;18,57143021
6/12/2018;23:01:11;20,8571434
7/12/2018;0:01:10;20
7/12/2018;1:01:11;21,8571434
7/12/2018;2:01:11;27,2857132
7/12/2018;3:01:11;18,57143021
7/12/2018;4:01:11;27,1428566
7/12/2018;5:01:11;41,42857361
7/12/2018;6:01:11;43,42856979
7/12/2018;7:01:11;34,7142868
7/12/2018;8:01:11;31,85714149
7/12/2018;9:01:11;36,8571434
7/12/2018;10:01:11;29,42856979
7/12/2018;11:01:11;32,57143021
7/12/2018;12:01:11;33,28571701
7/12/2018;13:01:11;32,7142868
7/12/2018;14:01:11;32,57143021
7/12/2018;15:01:11;25,1428566
7/12/2018;16:01:11;17,8571434
7/12/2018;17:01:11;19,8571434
7/12/2018;18:01:11;17,2857151
7/12/2018;19:01:11;16,4285717
7/12/2018;20:01:11;15,99999905
7/12/2018;21:01:12;15,99999809
7/12/2018;22:01:11;16,8571434
7/12/2018;23:01:11;22,57143021
8/12/2018;0:01:11;26,1428566
8/12/2018;1:01:11;24,85714149
8/12/2018;2:01:11;31,1428566
8/12/2018;3:01:12;17,1428566
8/12/2018;4:01:11;26,85714149
8/12/2018;5:01:11;29,85714149
8/12/2018;6:01:10;29,99999809
8/12/2018;7:01:10;29,1428566
8/12/2018;8:01:11;24,7142849
8/12/2018;9:01:11;28,1428566
8/12/2018;10:01:20;26,2857151
8/12/2018;11:01:11;27,42856979
8/12/2018;12:01:11;28,42856979
8/12/2018;13:01:11;28,57142639
8/12/2018;14:01:11;31,57142639
8/12/2018;15:01:11;18,85714149
8/12/2018;16:01:11;18,1428566
8/12/2018;17:01:11;18,14285851
8/12/2018;18:01:11;17,4285717
8/12/2018;19:01:11;18
8/12/2018;20:01:11;18,99999809
8/12/2018;21:01:11;16,7142849
8/12/2018;22:01:11;19,14285851
8/12/2018;23:01:11;19,2857132
9/12/2018;0:01:11;19,1428566
9/12/2018;1:01:11;22,85714149
9/12/2018;2:01:11;25,1428566
9/12/2018;3:01:11;27
9/12/2018;4:01:11;26,4285717
9/12/2018;5:01:11;14,85714149
9/12/2018;6:01:11;33,1428566
9/12/2018;7:01:11;29,2857132
9/12/2018;8:01:11;23,14285851
9/12/2018;9:01:10;25,00000191
9/12/2018;10:01:11;33,42856979
9/12/2018;11:01:10;30,85714149
9/12/2018;12:01:11;40,8571434
9/12/2018;13:01:10;37,1428566
9/12/2018;14:01:11;22,7142868
9/12/2018;15:01:10;25,5714283
9/12/2018;16:01:10;23,00000191
9/12/2018;17:01:10;21,00000191
9/12/2018;18:01:10;17,7142868
9/12/2018;19:01:11;21,85714149
9/12/2018;20:01:10;39,00000381
9/12/2018;21:01:20;23,5714283
9/12/2018;22:01:10;22,7142868
9/12/2018;23:01:11;28,42856979
10/12/2018;0:01:10;26,1428566
10/12/2018;1:01:11;25,2857151
10/12/2018;2:01:10;30,7142868
10/12/2018;3:01:10;32,7142868
10/12/2018;4:01:20;24,4285717
10/12/2018;5:01:10;29,57142639
10/12/2018;6:01:11;26,5714283
10/12/2018;7:01:11;27,85714149
10/12/2018;8:01:11;32,2857132
10/12/2018;9:01:11;23,4285717
